Tytul;Moja_ocena;Srednia_ocena;Premiera;Rok;Liczba_glosow;Gatunek;Produkcja;Dlugosc;Rezyser
Szpiedzy z sπsiedztwa;8;5.9;19 paüdziernik 2016;2016;17 357;Komedia;USA;1 godz. 45 min.;Greg Mottola
Ch≥opaki nie p≥aczπ;8;7.8;25 luty 2000;2000;414 022;Komedia;Polska;1 godz. 36 min.;Olaf Lubaszenko
Wyjúcie z tunelu;6;6.7;21 kwiecieÒ 2016;2016;5 576;Krymina≥;Argentyna;2 godz.;Rodrigo Grande
Mroczne wizje;5;5.3;28 sierpieÒ 2015;2015;5 168;Horror;USA;1 godz. 22 min.;Kevin Greutert
Wymarzony úlub;7;4.9;11 styczeÒ 2014;2014;636;Dramat;Kanada;1 godz. 27 min.;Mark Griffiths
Gwiezdne wojny: CzÍúÊ VI - PowrÛt Jedi;3;8.1;25 maj 1983;1983;284 241;Przygodowy;USA;2 godz. 14 min.;Richard Marquand
Spectral;8;6.1;9 grudzieÒ 2016;2016;18 511;Akcja;USA;1 godz. 48 min.;Nic Mathieu
Nie jestem gotowa na åwiÍta;8;5.1;12 listopad 2015;2015;705;Komedia;USA;1 godz. 24 min.;Sam Irvin
Kadet Kelly;8;6.1;8 marzec 2002;2002;12 331;Familijny;Kanada;1 godz. 41 min.;Larry Shaw
Areszt domowy;7;6.1;10 marzec 2014;2014;10 303;Horror;Nowa Zelandia;1 godz. 49 min.;Gerard Johnstone
£owcy zombie;6;6.0;23 paüdziernik 2015;2015;10 617;Horror;USA;1 godz. 33 min.;Christopher Landon
Cia≥o bardzo niepedagogiczne;5;4.3;10 paüdziernik 2008;2008;2 721;Komedia;USA;1 godz. 37 min.;Mark Lafferty
WygraÊ ze úmierciπ;5;6.9;9 luty 1990;1990;16 370;Sensacyjny;USA;1 godz. 36 min.;Bruce Malmuth
WiÍzienie w ogniu;6;5.4;7 listopad 2015;2015;2 272;Akcja;USA;1 godz. 27 min.;John Lyde
Epidemia;6;6.6;6 marzec 1995;1995;44 603;Dramat;USA;2 godz. 3 min.;Wolfgang Petersen
Pedagog;5;5.3;5 wrzesieÒ 2014;2014;821;Komedia;Kanada;1 godz. 21 min.;Pat Mills
Tajemnica skarbu Troi;6;6.3;15 luty 2007;2007;186;Przygodowy;Niemcy;2 godz. 59 min.;Dror Zahavi
Pustynne piek≥o;7;4.7;19 grudzieÒ 2013;2013;1 681;Thriller;USA;1 godz. 32 min.;Evelyn Purcell
Marsjanie atakujπ!;5;5.4;12 grudzieÒ 1996;1996;122 517;Sci-Fi;USA;1 godz. 46 min.;Tim Burton
Jarhead 3: OblÍøenie;7;5.6;7 luty 2016;2016;2 149;Dramat;USA;1 godz. 29 min.;William Kaufman
Wybryk natury;7;5.4;3 wrzesieÒ 2015;2015;3 161;Horror;USA;1 godz. 32 min.;Robbie Pickering
Wodny úwiat;6;6.8;28 lipiec 1995;1995;100 467;Przygodowy;USA;2 godz. 16 min.;Kevin Costner
Regression;5;6.3;30 czerwiec 2015;2015;13 883;Thriller;Hiszpania;1 godz. 46 min.;Alejandro Amen·bar
Gwiezdne wojny: CzÍúÊ V - Imperium kontratakuje;5;8.1;17 maj 1980;1980;291 670;Przygodowy;USA;2 godz. 4 min.;Irvin Kershner
Gwiezdny zaprzÍg;7;6.2;3 luty 2009;2009;1 893;Familijny;Kanada;1 godz. 24 min.;Robert Vince
Cud na 34. ulicy;7;7.0;18 listopad 1994;1994;8 960;Familijny;USA;1 godz. 54 min.;Les Mayfield
Palπcy problem;7;4.6;28 marzec 2014;2014;828;Komedia;Wielka Brytania;1 godz. 33 min.;Ben Cookson
Moc pierúcionka;7;5.4;24 styczeÒ 2015;2015;3 429;Komedia rom.;USA;1 godz. 27 min.;Nzingha Stewart
Kie≥;4;4.5;6 wrzesieÒ 2014;2014;7 505;Horror;USA;1 godz. 42 min.;Kevin Smith
Most;6;7.7;25 styczeÒ 2003;2003;5 840;Dramat;Czechy;29 min.;Bobby Garabedian
Kapitan Bomba - Kutapokalipsa;6;6.7;23 marzec 2012;2012;8 751;Animacja;Polska;54 min.;Bartosz Walaszek
Inteligent w armii;5;6.5;3 czerwiec 1994;1994;8 110;Dramat;USA;2 godz. 9 min.;Penny Marshall
Uwierz;7;6.2;16 listopad 2013;2013;675;Dramat;Wielka Brytania;1 godz. 34 min.;David Scheinmann
Cz≥owiek-demolka;5;6.8;7 paüdziernik 1993;1993;67 358;Akcja;USA;1 godz. 55 min.;Marco Brambilla
Psychopata;5;7.1;19 paüdziernik 1995;1995;15 534;Sensacyjny;USA;2 godz. 3 min.;Jon Amiel
Hinderburg;6;5.3;6 luty 2011;2011;775;Dramat;Niemcy;3 godz.;Philipp Kadelbach
Dennis rozrabiaka;7;5.9;24 czerwiec 1993;1993;21 091;Familijny;USA;1 godz. 34 min.;Nick Castle
Szwindel;6;6.7;24 sierpieÒ 2013;2013;1 521;Komedia;USA;1 godz. 32 min.;Jonathan Judge
ZarøniÍci øywcem;7;5.4;23 luty 2008;2008;3 849;Horror;Wielka Brytania;1 godz. 32 min.;Paul Andrew Williams
Alive, dramat w Andach;5;7.2;15 styczeÒ 1993;1993;24 260;Dramat;Kanada;2 godz. 7 min.;Frank Marshall
ålubna umowa;7;4.7;25 luty 2014;2014;4 835;Komedia rom.;USA;1 godz. 31 min.;Matt Berman
Tylko Ciebie chcÍ;5;7.3;22 czerwiec 2012;2012;83 596;Melodramat;Hiszpania;2 godz. 4 min.;Fernando Gonz·lez Molina
Z≥oto pustyni;6;6.5;27 wrzesieÒ 1999;1999;20 068;Dramat;USA;1 godz. 54 min.;David O. Russell
Fun Size, szalone Halloween;5;5.4;25 paüdziernik 2012;2012;6 330;Komedia;USA;1 godz. 26 min.;Josh Schwartz
Czerwony úwit;5;5.4;27 wrzesieÒ 2012;2012;10 697;Akcja;USA;1 godz. 33 min.;Dan Bradley
Tylko dla doros≥ych;5;5.8;18 kwiecieÒ 2013;2013;6 942;Komedia;USA;1 godz. 37 min.;Scott Coffey
Seksmisja;8;7.8;14 maj 1984;1983;645 284;Komedia;Polska;1 godz. 56 min.;Juliusz Machulski
åniadanie do ≥Ûøka;4;5.4;10 listopad 2010;2010;44 967;Komedia rom.;Polska;1 godz. 25 min.;Krzysztof Lang
Truman Show;7;7.4;1 czerwiec 1998;1998;490 877;Dramat;USA;1 godz. 43 min.;Peter Weir
